Author,Venue,Submissions
Phillipa Gill,SenSys,0
Phillipa Gill,SoSR,0
Phillipa Gill,LANC,0
Phillipa Gill,HotNets,1
Phillipa Gill,ANRW,3
Phillipa Gill,ANCS,0
Mark Allman,SIGCOMM,3
Mark Allman,IMC,12
Mark Allman,CoNext,0
Mark Allman,ICN,0
Mark Allman,E-Energy,0
Mark Allman,SenSys,0
Mark Allman,SoSR,0
Mark Allman,LANC,0
Mark Allman,HotNets,6
Mark Allman,ANRW,3
Mark Allman,ANCS,0
Srinivasan Keshav,SIGCOMM,0
Srinivasan Keshav,IMC,0
Srinivasan Keshav,CoNext,0
Srinivasan Keshav,ICN,0
Srinivasan Keshav,E-Energy,21
Srinivasan Keshav,SenSys,0
Srinivasan Keshav,SoSR,0
Srinivasan Keshav,LANC,0
Srinivasan Keshav,HotNets,1
Srinivasan Keshav,ANRW,0
Srinivasan Keshav,ANCS,0
Matthias Wählisch,SIGCOMM,8
Matthias Wählisch,IMC,0
Matthias Wählisch,CoNext,0
Matthias Wählisch,ICN,12
Matthias Wählisch,E-Energy,0
Matthias Wählisch,SenSys,0
Matthias Wählisch,SoSR,0
Matthias Wählisch,LANC,0
Matthias Wählisch,HotNets,1
Matthias Wählisch,ANRW,1
Matthias Wählisch,ANCS,0
Thomas C. Schmidt,SIGCOMM,8
Thomas C. Schmidt,IMC,0
Thomas C. Schmidt,CoNext,0
Thomas C. Schmidt,ICN,12
Thomas C. Schmidt,E-Energy,0
Thomas C. Schmidt,SenSys,0
Thomas C. Schmidt,SoSR,0
Thomas C. Schmidt,LANC,0
Thomas C. Schmidt,HotNets,1
Thomas C. Schmidt,ANRW,1
Thomas C. Schmidt,ANCS,0
Subhabrata Sen,SIGCOMM,2
Subhabrata Sen,IMC,13
Subhabrata Sen,CoNext,5
Subhabrata Sen,ICN,0
Subhabrata Sen,E-Energy,0
Subhabrata Sen,SenSys,0
Subhabrata Sen,SoSR,0
Subhabrata Sen,LANC,0
Subhabrata Sen,HotNets,0
Subhabrata Sen,ANRW,0
Subhabrata Sen,ANCS,0
Kamin Whitehouse,SIGCOMM,0
Kamin Whitehouse,IMC,0
Kamin Whitehouse,CoNext,0
Kamin Whitehouse,ICN,0
Kamin Whitehouse,E-Energy,0
Kamin Whitehouse,SenSys,20
Kamin Whitehouse,SoSR,0
Kamin Whitehouse,LANC,0
Kamin Whitehouse,HotNets,0
Kamin Whitehouse,ANRW,0
Kamin Whitehouse,ANCS,0
Yin Zhang,SIGCOMM,11
Yin Zhang,IMC,5
Yin Zhang,CoNext,3
Yin Zhang,ICN,0
Yin Zhang,E-Energy,0
Yin Zhang,SenSys,0
Yin Zhang,SoSR,0
Yin Zhang,LANC,0
Yin Zhang,HotNets,1
Yin Zhang,ANRW,0
Yin Zhang,ANCS,0
Ethan Katz-Bassett,SIGCOMM,11
Ethan Katz-Bassett,IMC,7
Ethan Katz-Bassett,CoNext,0
Ethan Katz-Bassett,ICN,0
Ethan Katz-Bassett,E-Energy,0
Ethan Katz-Bassett,SenSys,0
Ethan Katz-Bassett,SoSR,0
Ethan Katz-Bassett,LANC,0
Ethan Katz-Bassett,HotNets,2
Ethan Katz-Bassett,ANRW,0
Ethan Katz-Bassett,ANCS,0
Kimberly C. Claffy ,SIGCOMM,2
Kimberly C. Claffy ,IMC,13
Kimberly C. Claffy ,CoNext,4
Kimberly C. Claffy ,ICN,0
Kimberly C. Claffy ,E-Energy,0
Kimberly C. Claffy ,SenSys,0
Kimberly C. Claffy ,SoSR,0
Kimberly C. Claffy ,LANC,0
Kimberly C. Claffy ,HotNets,0
Kimberly C. Claffy ,ANRW,0
Kimberly C. Claffy ,ANCS,0
J. J. Garcia-Luna-Aceves,SIGCOMM,12
J. J. Garcia-Luna-Aceves,IMC,0
J. J. Garcia-Luna-Aceves,CoNext,0
J. J. Garcia-Luna-Aceves,ICN,6
J. J. Garcia-Luna-Aceves,E-Energy,0
J. J. Garcia-Luna-Aceves,SenSys,1
J. J. Garcia-Luna-Aceves,SoSR,0
J. J. Garcia-Luna-Aceves,LANC,0
J. J. Garcia-Luna-Aceves,HotNets,0
J. J. Garcia-Luna-Aceves,ANRW,0
J. J. Garcia-Luna-Aceves,ANCS,0
Wen Hu,SIGCOMM,0
Wen Hu,IMC,0
Wen Hu,CoNext,0
Wen Hu,ICN,0
Wen Hu,E-Energy,0
Wen Hu,SenSys,19
Wen Hu,SoSR,0
Wen Hu,LANC,0
Wen Hu,HotNets,0
Wen Hu,ANRW,0
Wen Hu,ANCS,0
Jun Bi,SIGCOMM,12
Jun Bi,IMC,0
Jun Bi,CoNext,0
Jun Bi,ICN,2
Jun Bi,E-Energy,0
Jun Bi,SenSys,0
Jun Bi,SoSR,5
Jun Bi,LANC,0
Jun Bi,HotNets,0
Jun Bi,ANRW,0
Jun Bi,ANCS,0
Geoffrey M. Voelker,SIGCOMM,5
Geoffrey M. Voelker,IMC,11
Geoffrey M. Voelker,CoNext,2
Geoffrey M. Voelker,ICN,0
Geoffrey M. Voelker,E-Energy,0
Geoffrey M. Voelker,SenSys,0
Geoffrey M. Voelker,SoSR,0
Geoffrey M. Voelker,LANC,0
Geoffrey M. Voelker,HotNets,1
Geoffrey M. Voelker,ANRW,0
Geoffrey M. Voelker,ANCS,0
Nick G. Duffield,SIGCOMM,6
Nick G. Duffield,IMC,11
Nick G. Duffield,CoNext,1
Nick G. Duffield,ICN,0
Nick G. Duffield,E-Energy,0
Nick G. Duffield,SenSys,0
Nick G. Duffield,SoSR,0
Nick G. Duffield,LANC,0
Nick G. Duffield,HotNets,0
Nick G. Duffield,ANRW,0
Nick G. Duffield,ANCS,0
Matthew Roughan,SIGCOMM,6
Matthew Roughan,IMC,10
Matthew Roughan,CoNext,2
Matthew Roughan,ICN,0
Matthew Roughan,E-Energy,0
Matthew Roughan,SenSys,0
Matthew Roughan,SoSR,0
Matthew Roughan,LANC,0
Matthew Roughan,HotNets,0
Matthew Roughan,ANRW,0
Matthew Roughan,ANCS,0
Paul Francis,SIGCOMM,11
Paul Francis,IMC,4
Paul Francis,CoNext,3
Paul Francis,ICN,0
Paul Francis,E-Energy,0
Paul Francis,SenSys,0
Paul Francis,SoSR,0
Paul Francis,LANC,0
Paul Francis,HotNets,0
Paul Francis,ANRW,0
Paul Francis,ANCS,0
David A. Maltz,SIGCOMM,11
David A. Maltz,IMC,4
David A. Maltz,CoNext,3
David A. Maltz,ICN,0
David A. Maltz,E-Energy,0
David A. Maltz,SenSys,0
David A. Maltz,SoSR,0
David A. Maltz,LANC,0
David A. Maltz,HotNets,0
David A. Maltz,ANRW,0
David A. Maltz,ANCS,0
Deepak Ganesan,SIGCOMM,4
Deepak Ganesan,IMC,0
Deepak Ganesan,CoNext,0
Deepak Ganesan,ICN,0
Deepak Ganesan,E-Energy,1
Deepak Ganesan,SenSys,13
Deepak Ganesan,SoSR,0
Deepak Ganesan,LANC,0
Deepak Ganesan,HotNets,0
Deepak Ganesan,ANRW,0
Deepak Ganesan,ANCS,0
Mohammad Alizadeh,SIGCOMM,16
